2014-15 School Quality Report Results for High Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing - 4yr,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
07X547,New Explorers High School,High School,475,N/A,N/A,Meeting Target,N/A,N/A,N/A,Approaching Target,70%,73%,79%,84%,77%,83%,Proficient,Developing,Proficient,Proficient,Proficient,"January 14, 2015",2.11,2.01,10.3%,26.1%,11.8%,85.5%,14.5%,70.5%,0.4%,31.4%,67.6%,0.4%,5.5,78.1%,80.9%,47.9%,96.6%
07X548,Urban Assembly School for Careers in Sports,High School,587,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Approaching Target,93%,96%,85%,93%,72%,94%,Proficient,Developing,Proficient,Proficient,Proficient,"February 3, 2015",2.39,2.31,7.2%,23.3%,0.5%,82.0%,11.6%,67.5%,0.2%,28.6%,69.5%,1.4%,4.4,85.3%,80.1%,48.9%,96.1%
07X551,The Urban Assembly Bronx Academy of Letters,High School,591,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,80%,79%,76%,72%,77%,83%,Proficient,Developing,Proficient,Well Developed,Proficient,"May 20-21, 2014",2.15,2.02,13.6%,25.0%,11.1%,88.2%,7.5%,71.1%,0.9%,30.4%,66.9%,1.5%,0.9,36.7%,82.8%,48.4%,97.2%
07X600,Alfred E. Smith Career and Technical Education Hig,High School,375,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,85%,77%,75%,77%,74%,84%,Developing,Developing,Developing,Proficient,Proficient,"May 5, 2015",2.08,2.03,19.2%,28.3%,6.9%,79.8%,14.7%,64.0%,1.1%,29.1%,68.3%,0.8%,3.0,80.6%,83.0%,52.3%,95.1%
07X655,Samuel Gompers Career and Technical Education High,High School,78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,82%,86%,74%,73%,84%,88%,N/A,N/A,N/A,N/A,N/A,,2.15,2.10,10.3%,32.1%,1.3%,83.3%,10.3%,66.7%,0.0%,32.1%,64.1%,2.6%,12.0,91.7%,70.0%,83.9%,93.6%
07X670,Health Opportunities High School,High School,554,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,85%,87%,84%,85%,87%,91%,Proficient,Developing,Proficient,Proficient,Proficient,"March 11-12, 2014",2.18,2.12,7.8%,19.3%,8.1%,83.4%,11.7%,68.8%,3.1%,36.1%,57.9%,1.8%,3.6,66.7%,79.0%,57.1%,97.1%
08X269,Bronx Studio School for Writers and Artists,High School,565,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,81%,84%,79%,82%,75%,91%,Proficient,Developing,Proficient,Proficient,Proficient,"May 14, 2015",2.29,2.24,12.0%,24.0%,5.5%,85.3%,11.1%,72.9%,1.2%,20.3%,76.9%,0.6%,11.0,51.2%,86.4%,45.2%,97.3%
08X282,Women's Academy of Excellence,High School,345,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,84%,84%,66%,78%,66%,81%,Proficient,Developing,Developing,Proficient,Proficient,"May 19, 2015",2.21,2.09,4.6%,22.0%,1.2%,76.7%,13.0%,59.1%,3.5%,50.1%,41.2%,2.6%,11.0,73.1%,78.7%,64.1%,95.7%
08X293,Renaissance High School for Musical Theater & Tech,High School,444,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,82%,93%,84%,92%,68%,93%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"April 22, 2015",2.28,2.09,3.6%,24.1%,0.5%,73.0%,7.7%,59.7%,3.2%,27.9%,61.0%,7.2%,7.0,71.4%,83.1%,49.6%,97.5%
08X295,Gateway School for Environmental Research and Tech,High School,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90%,85%,82%,86%,85%,90%,N/A,N/A,N/A,N/A,N/A,,2.11,1.97,17.1%,37.1%,1.4%,70.7%,8.6%,54.3%,1.4%,31.4%,64.3%,2.9%,0.9,88.9%,81.4%,67.6%,95.3%
08X305,Pablo Neruda Academy,High School,315,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,82%,91%,78%,90%,75%,93%,Developing,Developing,Developing,Proficient,Proficient,"November 13, 2014",2.05,1.96,18.4%,35.6%,2.2%,80.3%,15.6%,61.9%,4.4%,26.0%,67.6%,1.3%,1.3,63.3%,84.2%,44.7%,97.0%
08X312,Millennium Art Academy,High School,487,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,85%,86%,81%,84%,75%,93%,Developing,Developing,Developing,Proficient,Proficient,"December 5, 2014",2.26,2.11,4.7%,29.4%,0.6%,78.5%,9.2%,64.1%,2.3%,30.0%,65.1%,1.8%,3.0,81.3%,85.5%,43.6%,96.2%
08X320,Pelham Lab High School,High School,211,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79%,75%,76%,77%,77%,84%,Proficient,Developing,Developing,Proficient,Proficient,"November 24, 2014",2.17,2.15,14.7%,24.6%,0.5%,78.3%,10.4%,63.0%,7.6%,33.2%,52.6%,5.2%,2.0,47.1%,90.3%,34.5%,98.4%
08X332,Holcombe L. Rucker School of Community Research,High School,236,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,85%,94%,84%,84%,74%,91%,Developing,Developing,Developing,Proficient,Proficient,"April 14, 2015",2.06,1.99,11.0%,29.7%,8.1%,83.6%,18.6%,66.1%,0.4%,43.2%,54.7%,0.4%,9.0,82.4%,85.0%,45.0%,94.8%
08X348,Schuylerville Preparatory High School,High School,177,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91%,95%,87%,95%,76%,96%,Proficient,Developing,Developing,Proficient,Developing,"April 1, 2015",2.32,2.14,14.7%,22.0%,0.6%,75.0%,11.3%,61.6%,4.0%,22.0%,66.7%,6.2%,2.0,83.3%,90.0%,34.8%,96.2%
08X349,Bronx River High School,High School,204,N/A,N/A,N/A,N/A,N/A,N/A,N/A,93%,90%,81%,88%,76%,87%,Proficient,Proficient,Well Developed,Proficient,Well Developed,"April 15, 2015",2.18,2.06,14.7%,24.0%,1.0%,75.8%,15.7%,60.3%,2.9%,29.9%,60.8%,2.5%,2.0,53.3%,87.5%,44.1%,97.0%
08X367,"Archimedes Academy for Math, Science and Technolog",High School,637,Meeting Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,81%,78%,80%,66%,71%,83%,Proficient,Proficient,Proficient,Well Developed,Proficient,"December 4, 2014",2.25,2.16,6.3%,28.7%,12.4%,72.3%,9.1%,53.7%,5.5%,30.9%,60.6%,2.2%,8.0,71.2%,87.7%,36.5%,96.7%
08X376,Antonia Pantoja Preparatory Academy: A College Boa,High School,450,N/A,N/A,Approaching Target,N/A,Approaching Target,Approaching Target,Approaching Target,84%,71%,74%,61%,74%,85%,Developing,Developing,Developing,Proficient,Developing,"May 5, 2015",2.20,2.05,14.3%,25.3%,1.3%,75.6%,16.0%,54.0%,6.3%,26.2%,65.4%,1.3%,0.5,70.3%,80.9%,52.1%,95.7%
08X405,Herbert H. Lehman High School,High School,1535,Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,N/A,N/A,Approaching Target,82%,72%,73%,58%,70%,78%,Proficient,Proficient,Proficient,Proficient,Proficient,"April 1, 2015",2.25,2.13,10.3%,25.3%,11.6%,70.7%,7.8%,54.5%,9.2%,23.6%,54.9%,10.6%,3.8,92.7%,79.4%,52.1%,94.4%
08X432,BRONX BRIDGES HIGH SCHOOL,High School,333,Approaching Target,Meeting Target,Meeting Target,Not Meeting Target,Approaching Target,Meeting Target,Approaching Target,80%,80%,82%,68%,72%,83%,Developing,Developing,Proficient,Well Developed,Proficient,"January 8, 2015",1.80,1.98,82.3%,11.7%,0.6%,83.4%,27.0%,63.1%,7.8%,6.6%,82.9%,1.8%,0.8,38.7%,83.2%,54.0%,96.7%
08X452,Bronx Guild,High School,326,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,87%,94%,80%,88%,78%,92%,Proficient,Proficient,Proficient,Well Developed,Proficient,"May 8, 2015",2.17,1.98,10.4%,30.7%,0.6%,82.1%,13.5%,66.3%,4.0%,32.2%,61.7%,1.2%,9.0,63.6%,74.2%,72.8%,97.7%
08X519,Felisa Rincon de Gautier Institute for Law and Pub,High School,307,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,80%,82%,71%,77%,80%,84%,Proficient,Developing,Developing,Proficient,Proficient,"February 5, 2105",2.13,1.98,10.1%,27.4%,6.2%,82.1%,20.5%,65.1%,2.0%,25.4%,67.8%,2.9%,9.9,52.2%,79.3%,56.9%,96.5%
08X530,Banana Kelly High School,High School,325,Approaching Target,Not Meeting Target,Not Meeting Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,78%,59%,77%,47%,70%,65%,Developing,Developing,Developing,Developing,Developing,"March 17, 2015",2.02,1.94,11.4%,31.7%,14.8%,85.1%,18.5%,70.2%,0.0%,37.2%,60.6%,1.2%,2.6,40.0%,71.5%,74.6%,97.9%
08X558,Westchester Square Academy,High School,396,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87%,93%,84%,94%,78%,93%,Proficient,Proficient,Well Developed,Proficient,Proficient,"December 10, 2014",2.37,2.19,6.8%,22.5%,1.3%,70.1%,9.3%,55.3%,4.5%,26.8%,56.6%,8.8%,3.0,32.3%,86.5%,42.3%,97.3%
08X559,School for Tourism and Hospitality,High School,240,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87%,83%,77%,81%,80%,91%,Proficient,Developing,Proficient,Proficient,Proficient,"December 18, 2014",2.13,2.06,15.4%,17.1%,2.5%,84.7%,15.8%,67.5%,1.3%,35.4%,60.4%,0.0%,2.4,61.9%,83.1%,48.9%,98.2%
08X561,Bronx Compass High School,High School,332,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83%,89%,86%,88%,75%,94%,Proficient,Developing,Proficient,Well Developed,Proficient,"March 13, 2015",2.26,2.10,8.1%,28.3%,0.9%,78.8%,16.3%,61.7%,2.4%,34.6%,60.2%,0.9%,3.0,28.0%,80.2%,60.6%,96.4%
08X650,Jane Addams High School for Academic Careers,High School,147,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87%,84%,83%,74%,82%,92%,N/A,N/A,N/A,N/A,N/A,,2.03,2.07,8.8%,31.3%,0.7%,84.3%,4.1%,71.4%,0.0%,32.7%,63.9%,2.7%,3.4,100.0%,70.7%,75.7%,94.7%
09X227,Bronx Collegiate Academy,High School,382,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,85%,94%,86%,94%,79%,94%,Proficient,Developing,Proficient,Well Developed,Proficient,"May 4, 2015",2.09,2.01,27.2%,23.0%,8.1%,83.3%,16.8%,67.3%,1.0%,28.5%,69.1%,0.3%,4.3,82.6%,80.1%,57.6%,94.5%
09X231,Eagle Academy for Young Men,High School,608,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,82%,86%,77%,83%,85%,89%,Proficient,Developing,Developing,Well Developed,Proficient,"May 15, 2015",2.24,2.15,2.2%,27.9%,7.0%,70.5%,8.1%,48.2%,0.3%,60.7%,36.0%,0.5%,4.9,82.9%,86.1%,39.7%,95.2%
09X241,Urban Assembly School for Applied Math and Science,High School,619,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,82%,82%,80%,79%,77%,86%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"May 2-3, 2013",2.33,2.42,5.1%,20.2%,0.6%,82.2%,7.4%,59.8%,1.4%,33.0%,64.1%,1.1%,2.9,55.8%,89.6%,33.7%,96.7%
09X250,Eximius College Preparatory Academy: A College Boa,High School,449,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,90%,92%,86%,88%,86%,93%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"January 15, 2015",2.33,2.23,8.9%,20.0%,0.7%,79.6%,12.7%,62.1%,1.1%,45.2%,52.1%,0.7%,3.8,66.7%,89.3%,34.6%,97.4%
09X252,Mott Hall Bronx High School,High School,402,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,75%,84%,82%,78%,76%,89%,Proficient,Proficient,Proficient,Well Developed,Proficient,"May 15, 2015",2.26,2.28,10.9%,23.4%,10.4%,84.0%,9.0%,69.2%,1.2%,20.1%,75.6%,1.2%,3.7,37.0%,85.9%,41.3%,97.1%
09X260,Bronx Center for Science and Mathematics,High School,457,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,83%,91%,86%,87%,75%,93%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"April 27, 2015",2.74,2.64,3.3%,17.7%,3.9%,75.3%,6.6%,58.0%,6.3%,25.4%,65.9%,1.5%,10.0,64.3%,92.0%,26.8%,97.1%
09X263,Validus Preparatory Academy: An Expeditionary Lear,High School,375,Approaching Target,Meeting Target,N/A,Approaching Target,Meeting Target,Meeting Target,Meeting Target,77%,81%,82%,78%,76%,89%,Developing,Developing,Developing,Proficient,Proficient,"May 5, 2015",2.17,2.17,11.5%,22.4%,7.5%,83.7%,10.1%,66.7%,1.6%,26.9%,70.7%,0.8%,1.0,59.3%,84.3%,43.5%,95.9%
09X276,Leadership Institute,High School,207,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Exceeding Target,Exceeding Target,Approaching Target,84%,85%,79%,74%,86%,93%,Proficient,Developing,Proficient,Developing,Proficient,"December 17, 2014",2.02,1.95,21.3%,30.0%,4.8%,90.2%,16.4%,75.8%,0.0%,34.3%,63.3%,1.9%,7.9,62.5%,74.9%,63.1%,97.4%
09X297,Morris Academy for Collaborative Studies,High School,471,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,87%,82%,83%,87%,74%,88%,Well Developed,Proficient,Well Developed,Proficient,Well Developed,"December 10, 2014",2.14,2.00,18.7%,25.3%,5.1%,85.0%,14.9%,68.6%,0.8%,26.3%,72.0%,0.4%,2.5,82.9%,79.6%,56.5%,96.4%
09X324,Bronx Early College Academy for Teaching & Learnin,High School,503,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,90%,94%,84%,88%,74%,90%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"April 29, 2015",2.41,2.23,6.8%,15.1%,0.7%,81.9%,8.2%,59.9%,3.6%,28.7%,67.4%,0.4%,3.8,43.8%,85.8%,44.4%,95.9%
09X327,Comprehensive Model School Project M.S. 327,High School,628,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,N/A,93%,94%,85%,91%,79%,93%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,"March 26, 2015",2.49,2.76,5.7%,21.5%,6.3%,86.2%,6.3%,70.3%,0.0%,23.3%,76.0%,0.6%,0.9,61.4%,90.3%,27.4%,97.2%
09X329,DreamYard Preparatory School,High School,336,Approaching Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,96%,97%,88%,94%,85%,96%,Developing,Developing,Developing,Proficient,Proficient,"April 22, 2015",2.17,2.04,21.4%,19.6%,3.0%,85.9%,24.4%,68.2%,1.5%,33.6%,60.7%,1.2%,3.2,56.5%,79.2%,52.3%,96.9%
09X365,Academy for Language and Technology,High School,322,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,86%,89%,91%,85%,77%,89%,Well Developed,Proficient,Well Developed,Well Developed,Proficient,"May 20-21, 2013",1.81,2.06,74.5%,4.3%,0.0%,83.1%,22.0%,61.2%,0.0%,0.3%,99.7%,0.0%,1.7,25.0%,91.7%,29.8%,98.1%
09X403,Bronx International High School,High School,409,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,92%,91%,87%,80%,80%,93%,Proficient,Proficient,Proficient,Proficient,Well Developed,"November 18, 2014",1.78,1.91,88.3%,4.9%,0.0%,82.6%,24.9%,58.2%,3.4%,20.0%,74.1%,1.7%,9.0,80.0%,84.3%,40.7%,96.1%
09X404,School for Excellence,High School,421,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,91%,84%,79%,86%,74%,89%,Developing,Developing,Proficient,Proficient,Proficient,"March 18, 2015",2.12,2.07,27.1%,27.8%,5.0%,87.5%,23.3%,72.4%,0.7%,26.6%,70.8%,1.0%,5.2,96.3%,75.3%,63.9%,95.4%
09X412,Bronx High School of Business,High School,339,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,81%,74%,78%,59%,72%,77%,Developing,Developing,Developing,Developing,Proficient,"April 15, 2015",2.07,2.01,29.8%,26.3%,9.1%,82.5%,18.6%,59.6%,1.5%,33.3%,63.1%,1.2%,3.3,81.6%,78.9%,51.7%,96.2%
09X413,Bronx High School for Medical Science,High School,472,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,90%,92%,82%,81%,81%,91%,Developing,Developing,Developing,Developing,Developing,"May 20, 2015",2.51,2.48,1.4%,9.5%,4.8%,80.1%,8.2%,60.5%,7.1%,36.7%,53.4%,0.7%,13.0,63.3%,92.8%,22.4%,98.1%
09X414,Jonathan Levin High School for Media and Communica,High School,160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84%,90%,80%,90%,89%,92%,Proficient,Developing,Developing,Proficient,Developing,"May 21, 2015",2.05,1.98,40.0%,26.9%,10.6%,84.6%,21.3%,63.8%,1.3%,20.6%,76.9%,1.3%,0.8,100.0%,75.3%,69.8%,96.0%
09X505,"Bronx School for Law, Government and Justice",High School,778,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,82%,80%,80%,76%,71%,85%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"December 11, 2014",2.58,2.47,3.9%,19.3%,3.7%,80.3%,7.5%,63.9%,2.2%,23.1%,72.0%,1.0%,11.0,59.3%,90.2%,30.0%,96.5%
09X517,Frederick Douglass Academy III Secondary School,High School,427,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,85%,84%,85%,76%,82%,83%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,"January 16, 2015",2.13,2.03,11.7%,21.8%,8.9%,83.6%,20.4%,65.6%,0.7%,50.4%,45.4%,2.3%,11.0,58.6%,79.8%,63.8%,96.0%
09X525,Bronx Leadership Academy High School,High School,686,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,78%,74%,73%,70%,73%,85%,Proficient,Proficient,Proficient,Proficient,Proficient,"February 6-7, 2014",2.16,2.07,9.8%,24.6%,11.1%,82.7%,9.0%,68.8%,0.4%,35.7%,61.7%,0.6%,0.8,59.5%,81.7%,49.2%,95.5%
09X543,High School for Violin and Dance,High School,384,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,78%,71%,74%,70%,74%,83%,Proficient,Developing,Developing,Developing,Proficient,"November 21, 2014",2.15,2.07,11.7%,26.0%,0.5%,85.8%,21.9%,70.3%,0.5%,34.1%,64.6%,0.3%,4.3,69.6%,79.2%,60.9%,96.0%
09X564,Claremont International HS,High School,257,N/A,N/A,N/A,N/A,N/A,N/A,N/A,79%,88%,84%,78%,82%,87%,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,"April 15, 2015",1.81,1.90,90.3%,2.3%,0.8%,85.6%,41.6%,54.9%,4.7%,20.6%,72.8%,1.2%,3.0,22.2%,88.9%,32.1%,98.3%
10X141,Riverdale / Kingsbridge Academy (Middle School / H,High School,1381,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,84%,81%,82%,75%,75%,86%,Proficient,Proficient,Proficient,Well Developed,Well Developed,"December 3, 2014",2.56,2.48,5.4%,20.7%,6.6%,41.8%,3.7%,31.6%,7.7%,12.3%,55.7%,23.7%,8.0,86.4%,91.0%,29.4%,96.6%
10X213,Bronx Engineering and Technology Academy,High School,417,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,85%,85%,76%,74%,70%,86%,Developing,Developing,Developing,Proficient,Proficient,"February 4, 2015",2.22,2.23,9.8%,20.9%,0.5%,75.3%,10.6%,59.5%,6.7%,34.3%,55.9%,1.4%,4.2,74.1%,83.5%,50.2%,96.7%
10X225,Theatre Arts Production Company School,High School,632,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,84%,87%,81%,80%,76%,91%,Proficient,Proficient,Developing,Proficient,Proficient,"April 29, 2015",2.39,2.21,5.2%,18.6%,1.0%,80.6%,7.9%,63.1%,1.2%,29.2%,66.6%,0.7%,3.3,79.1%,88.9%,38.0%,96.4%
10X237,"The Marie Curie School for Medicine, Nursing, and",High School,583,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,84%,78%,79%,70%,74%,85%,Well Developed,Proficient,Proficient,Well Developed,Proficient,"December 22, 2014",2.35,2.24,9.6%,18.9%,2.6%,75.9%,10.5%,59.7%,2.7%,35.7%,56.9%,3.3%,11.0,71.4%,86.0%,34.9%,96.4%
10X243,West Bronx Academy for the Future,High School,599,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,84%,85%,81%,82%,74%,89%,Developing,Developing,Developing,Proficient,Proficient,"May 13, 2015",2.23,2.08,9.5%,25.0%,3.6%,85.1%,6.0%,67.3%,2.7%,21.1%,72.0%,3.0%,11.0,75.0%,87.5%,37.3%,97.3%
10X264,Bronx Academy for Software Engineering (BASE),High School,226,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81%,89%,87%,87%,81%,95%,Proficient,Proficient,Proficient,Proficient,Well Developed,"May 22, 2015",2.41,2.39,7.1%,28.8%,10.6%,70.9%,15.0%,51.8%,7.5%,28.8%,60.6%,2.7%,2.0,29.4%,88.8%,30.3%,97.6%
10X268,Kingsbridge International High School,High School,461,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,83%,87%,84%,86%,77%,91%,Developing,Developing,Developing,Proficient,Proficient,"April 15, 2015",1.78,1.99,88.5%,3.5%,0.0%,82.7%,37.1%,52.5%,6.5%,5.2%,85.9%,2.0%,10.0,92.3%,86.8%,36.2%,98.1%
10X284,Bronx School of Law and Finance,High School,426,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,86%,74%,77%,75%,80%,88%,Proficient,Developing,Proficient,Proficient,Proficient,"January 15-16, 2014",2.24,2.13,8.9%,24.6%,6.3%,81.9%,12.9%,66.0%,2.1%,30.3%,64.8%,2.6%,3.0,70.4%,82.0%,54.4%,96.5%
10X342,International School for Liberal Arts,High School,561,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,91%,93%,87%,88%,82%,92%,Proficient,Proficient,Developing,Proficient,Well Developed,"March 18, 2015",1.94,2.09,67.2%,6.9%,0.3%,85.7%,25.9%,61.3%,0.0%,0.0%,99.5%,0.5%,3.3,80.5%,93.1%,19.7%,97.5%
10X351,Bronx Collaborative High School,High School,223,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97%,99%,86%,97%,80%,95%,Proficient,Developing,Developing,Proficient,Proficient,"November 24, 2014",2.25,2.18,16.1%,22.9%,0.0%,85.5%,19.7%,66.8%,1.3%,29.6%,62.3%,4.9%,2.0,23.5%,71.6%,96.5%,97.7%
10X353,World View High School,High School,173,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97%,97%,84%,96%,77%,93%,Proficient,Proficient,Proficient,Proficient,Well Developed,"January 7, 2015",2.21,2.14,34.7%,22.5%,5.2%,80.9%,18.5%,59.0%,1.2%,27.7%,68.8%,1.2%,1.3,45.5%,89.6%,36.0%,98.4%
10X368,In-Tech Academy (M.S. / High School 368),High School,1022,Approaching Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,77%,73%,81%,64%,71%,84%,Proficient,Proficient,Developing,Proficient,Proficient,"October 29, 2013",2.46,2.23,9.2%,17.2%,1.9%,74.9%,8.0%,59.8%,2.8%,10.8%,82.8%,3.4%,4.7,75.8%,92.7%,21.3%,96.9%
10X374,Knowledge and Power Preparatory Academy Internatio,High School,487,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,88%,95%,88%,92%,77%,93%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"April 22, 2015",2.31,2.23,15.0%,22.4%,3.5%,76.6%,11.3%,57.1%,2.5%,32.2%,61.4%,2.1%,7.9,39.5%,85.1%,48.4%,97.6%
10X433,High School for Teaching and the Professions,High School,486,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,83%,94%,84%,91%,85%,92%,Proficient,Developing,Developing,Well Developed,Proficient,"May 20, 2015",2.18,2.09,21.2%,24.7%,1.2%,80.7%,12.1%,61.7%,1.9%,20.4%,74.5%,2.7%,0.9,84.8%,82.2%,48.7%,96.2%
10X434,Belmont Preparatory High School,High School,416,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,86%,86%,84%,78%,67%,88%,Proficient,Proficient,Developing,Proficient,Developing,"January 14, 2015",2.36,2.30,6.3%,15.4%,5.3%,73.5%,7.5%,54.3%,2.2%,30.0%,65.6%,1.9%,8.0,83.9%,89.8%,31.4%,96.6%
10X437,Fordham High School for the Arts,High School,401,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,86%,85%,89%,80%,67%,89%,Well Developed,Proficient,Proficient,Well Developed,Well Developed,"December 4-5, 2013",2.47,2.26,4.0%,19.5%,0.5%,75.4%,8.2%,60.6%,1.0%,30.9%,65.1%,2.5%,11.0,36.4%,92.6%,23.0%,96.7%
