2014-15 School Quality Report Results for High Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing - 4yr,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
02M393,BUSINESS OF SPORTS SCHOOL,High School,449,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,73%,77%,85%,79%,79%,86%,Well Developed,Proficient,Well Developed,Proficient,Proficient,"January 22, 2015",2.22,2.16,7.3%,22.3%,0.0%,71.4%,11.4%,54.6%,2.2%,35.4%,59.5%,1.6%,6.0,54.3%,84.7%,47.5%,97.3%
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,High School,437,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,85%,87%,80%,84%,67%,89%,Proficient,Proficient,Proficient,Proficient,Proficient,"April 30, 2014",2.44,2.40,12.1%,17.4%,0.2%,70.3%,13.0%,53.3%,31.1%,20.4%,40.3%,5.7%,1.9,48.3%,86.9%,38.2%,97.8%
02M400,High School for Environmental Studies,High School,1301,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,84%,85%,84%,76%,68%,87%,Proficient,Proficient,Proficient,Proficient,Proficient,"October 22-23, 2013",2.60,2.55,7.1%,16.6%,4.9%,69.0%,5.8%,54.7%,15.1%,14.7%,62.9%,6.6%,14.4,83.3%,89.1%,29.6%,97.1%
02M407,Institute for Collaborative Education,High School,482,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,94%,98%,90%,98%,89%,96%,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"March 19 - 20, 2013",2.87,2.38,0.0%,6.2%,0.0%,25.8%,3.6%,13.0%,5.8%,14.1%,14.9%,56.5%,3.4,69.6%,91.7%,20.4%,97.8%
02M408,Professional Performing Arts High School,High School,536,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,90%,86%,84%,85%,75%,91%,Proficient,Proficient,Proficient,Proficient,Proficient,"December 17-18, 2013",3.05,2.71,0.2%,12.6%,0.5%,33.0%,7.9%,15.1%,2.5%,26.2%,22.3%,42.9%,10.0,83.3%,94.4%,13.3%,96.7%
02M411,Baruch College Campus High School,High School,451,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Approaching Target,Exceeding Target,Exceeding Target,91%,94%,90%,92%,70%,95%,Well Developed,Proficient,Well Developed,Well Developed,Proficient,"April 30, 2015",3.26,3.29,0.2%,10.0%,0.2%,45.9%,4.0%,33.3%,54.8%,6.2%,14.9%,22.8%,11.2,69.2%,97.5%,4.4%,96.3%
02M412,N.Y.C. Lab School for Collaborative Studies,High School,587,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,86%,91%,89%,89%,79%,94%,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,"January 7, 2015",3.28,3.17,0.2%,15.0%,0.0%,32.5%,3.7%,20.6%,27.6%,6.0%,15.5%,46.0%,8.8,81.1%,94.2%,15.3%,96.4%
02M413,School of the Future High School,High School,713,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,88%,96%,88%,91%,76%,92%,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"December 16, 2014",3.05,2.77,0.5%,14.8%,0.0%,35.8%,6.2%,21.8%,14.4%,11.7%,30.4%,35.9%,7.9,84.8%,94.1%,16.4%,96.7%
02M414,N.Y.C. Museum School,High School,471,Meeting Target,Approaching Target,Meeting Target,Not Meeting Target,Not Meeting Target,Approaching Target,Exceeding Target,86%,79%,84%,60%,64%,81%,Proficient,Proficient,Proficient,Well Developed,Proficient,"May 18, 2015",3.18,3.13,0.6%,7.6%,0.0%,59.3%,3.2%,44.4%,34.2%,12.7%,39.7%,12.1%,10.0,96.0%,94.8%,14.5%,95.0%
02M416,Eleanor Roosevelt High School,High School,541,Meeting Target,Approaching Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,89%,80%,92%,75%,76%,86%,Proficient,Well Developed,Proficient,Well Developed,Developing,"November 20, 2014",3.61,3.61,0.0%,5.9%,0.0%,20.4%,1.1%,11.3%,20.1%,4.4%,10.9%,61.4%,7.0,93.5%,96.5%,7.2%,97.5%
